index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[641943],0.705,1.54,-2.293,3.387,0.057,0.029,729.0,1404.0,1.01
1|batter[642020],4.111,1.214,1.77,6.326,0.036,0.029,1119.0,1199.0,1.01
1|batter[642086],8.511,1.063,6.672,10.656,0.045,0.022,552.0,1039.0,1.01
1|batter[642133],0.119,0.775,-1.289,1.535,0.031,0.016,617.0,1274.0,1.01
1|batter[642136],3.633,1.033,1.71,5.653,0.043,0.022,572.0,1303.0,1.01
1|batter[642180],-1.134,1.04,-2.995,0.969,0.03,0.023,1217.0,1242.0,1.01
1|batter[642197],-5.306,1.429,-8.1,-2.71,0.048,0.033,893.0,1128.0,1.01
1|batter[642201],3.126,1.849,-0.257,6.61,0.044,0.043,1752.0,1320.0,1.0
1|batter[642215],0.395,1.254,-1.882,2.783,0.034,0.027,1306.0,1357.0,1.0
1|batter[642350],-1.853,0.642,-2.977,-0.633,0.042,0.013,223.0,1073.0,1.02
1|batter[642708],-3.09,0.76,-4.512,-1.715,0.037,0.017,423.0,1194.0,1.01
1|batter[642715],-1.244,0.66,-2.372,0.045,0.065,0.014,104.0,1074.0,1.03
1|batter[642731],7.833,0.901,6.207,9.509,0.028,0.019,1002.0,1283.0,1.01
1|batter[642851],1.822,2.49,-2.246,6.83,0.059,0.054,1751.0,1256.0,1.0
1|batter[643217],2.971,0.843,1.421,4.566,0.048,0.018,303.0,1302.0,1.02
1|batter[643265],-5.742,1.244,-7.958,-3.378,0.038,0.027,1096.0,1246.0,1.01
1|batter[643289],-5.204,0.696,-6.459,-3.873,0.054,0.015,166.0,1008.0,1.03
1|batter[643376],4.84,1.06,2.848,6.787,0.043,0.025,616.0,1150.0,1.01
1|batter[643393],-3.612,4.328,-11.419,4.86,0.094,0.089,2096.0,1443.0,1.0
1|batter[643396],5.985,0.849,4.517,7.752,0.042,0.018,402.0,1192.0,1.02
1|batter[643446],-0.135,0.776,-1.626,1.312,0.034,0.015,524.0,1099.0,1.02
1|batter[643565],2.194,0.789,0.739,3.726,0.03,0.018,726.0,1183.0,1.01
1|batter[644433],1.676,2.237,-2.554,5.778,0.061,0.056,1375.0,1340.0,1.0
1|batter[645277],5.537,0.985,3.778,7.421,0.035,0.02,788.0,1155.0,1.01
1|batter[645302],-9.21,0.805,-10.559,-7.553,0.043,0.018,341.0,1216.0,1.02
1|batter[645305],-0.532,1.441,-3.234,2.047,0.045,0.03,1038.0,1518.0,1.01
1|batter[645444],-6.371,1.239,-8.8,-4.119,0.03,0.024,1734.0,1586.0,1.0
1|batter[645801],-1.581,1.861,-5.008,1.895,0.055,0.039,1143.0,1205.0,1.01
1|batter[646240],9.006,0.633,7.922,10.249,0.067,0.014,90.0,1177.0,1.04
1|batter[647304],-9.606,0.592,-10.701,-8.469,0.033,0.012,297.0,1278.0,1.02
1|batter[647351],2.571,0.941,0.848,4.289,0.032,0.021,881.0,1020.0,1.01
1|batter[649557],-3.404,2.053,-6.884,0.553,0.054,0.042,1431.0,1468.0,1.0
1|batter[649966],1.746,1.424,-0.874,4.646,0.038,0.029,1419.0,1320.0,1.0
1|batter[650333],8.446,0.82,6.956,10.095,0.028,0.018,855.0,1360.0,1.01
1|batter[650391],-1.525,0.838,-3.005,0.091,0.039,0.016,475.0,1502.0,1.02
1|batter[650402],7.191,0.637,6.065,8.434,0.063,0.013,103.0,1025.0,1.03
1|batter[650489],0.163,0.641,-1.114,1.321,0.056,0.015,132.0,901.0,1.03
1|batter[650490],9.447,0.723,8.037,10.745,0.035,0.016,427.0,846.0,1.02
1|batter[650559],-4.836,0.631,-6.088,-3.744,0.044,0.013,209.0,905.0,1.03
1|batter[650859],5.812,0.784,4.281,7.176,0.05,0.019,253.0,1302.0,1.02
1|batter[650907],-5.346,1.788,-8.757,-1.987,0.041,0.037,1931.0,1513.0,1.0
1|batter[655316],0.178,1.22,-2.282,2.335,0.038,0.028,1041.0,1124.0,1.0
1|batter[656180],-4.902,0.971,-6.716,-3.111,0.035,0.023,765.0,746.0,1.01
