index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[656976],1.971,1.11,-0.065,3.978,0.03,0.024,1450.0,1395.0,1.0
1|batter[657041],1.699,0.654,0.464,2.929,0.026,0.015,657.0,1398.0,1.01
1|batter[657061],-0.933,1.575,-3.941,1.926,0.042,0.037,1392.0,1201.0,1.0
1|batter[657077],-7.171,0.689,-8.477,-5.933,0.018,0.015,1432.0,1294.0,1.0
1|batter[657088],-1.026,1.541,-4.066,1.679,0.033,0.034,2120.0,1607.0,1.0
1|batter[657136],-0.782,0.651,-1.966,0.433,0.026,0.015,639.0,1265.0,1.01
1|batter[657193],2.466,3.122,-3.454,8.085,0.069,0.071,2031.0,1473.0,1.0
1|batter[657557],7.91,0.629,6.739,9.134,0.026,0.014,571.0,1319.0,1.01
1|batter[657656],3.911,0.785,2.378,5.308,0.024,0.019,1065.0,1321.0,1.01
1|batter[657757],-2.445,0.589,-3.556,-1.374,0.024,0.011,604.0,1434.0,1.01
1|batter[658668],2.362,0.884,0.729,3.97,0.03,0.019,864.0,1290.0,1.01
1|batter[660162],-9.507,2.277,-13.677,-5.213,0.047,0.054,2317.0,1408.0,1.0
1|batter[660271],2.407,0.511,1.434,3.345,0.025,0.011,412.0,1083.0,1.01
1|batter[660636],1.963,4.406,-6.558,9.813,0.088,0.121,2496.0,1312.0,1.01
1|batter[660644],-0.32,0.676,-1.615,0.897,0.026,0.016,701.0,1183.0,1.01
1|batter[660670],-0.061,1.056,-1.906,1.991,0.026,0.024,1670.0,1359.0,1.0
1|batter[660688],-4.313,0.735,-5.659,-2.89,0.028,0.017,698.0,941.0,1.02
1|batter[660707],-12.299,0.906,-14.134,-10.708,0.029,0.02,943.0,1241.0,1.01
1|batter[660758],0.544,3.771,-6.292,7.71,0.083,0.09,2081.0,1249.0,1.0
1|batter[660766],1.315,0.739,-0.081,2.678,0.031,0.016,553.0,1412.0,1.01
1|batter[660821],-0.992,0.601,-2.134,0.056,0.027,0.013,481.0,1064.0,1.02
1|batter[660844],-3.582,1.633,-6.53,-0.445,0.041,0.038,1578.0,1270.0,1.0
1|batter[661388],5.969,0.558,4.875,6.959,0.021,0.011,740.0,1255.0,1.01
1|batter[661531],7.119,1.592,4.038,10.133,0.041,0.037,1540.0,1290.0,1.0
1|batter[662139],1.082,0.6,0.002,2.267,0.02,0.012,930.0,1353.0,1.01
1|batter[663330],3.537,1.783,0.165,6.679,0.039,0.034,2108.0,1623.0,1.0
1|batter[663368],3.856,0.613,2.81,5.087,0.025,0.013,582.0,1159.0,1.01
1|batter[663457],-1.914,0.762,-3.387,-0.579,0.026,0.014,882.0,1240.0,1.01
1|batter[663527],1.847,0.781,0.41,3.33,0.023,0.022,1137.0,886.0,1.0
1|batter[663538],-5.219,0.589,-6.327,-4.2,0.023,0.011,670.0,1685.0,1.01
1|batter[663550],-3.516,1.206,-5.879,-1.37,0.03,0.026,1701.0,1596.0,1.0
1|batter[663586],-8.216,0.718,-9.542,-6.908,0.022,0.016,1020.0,1108.0,1.0
1|batter[663604],-7.332,2.615,-12.243,-2.546,0.055,0.058,2290.0,1623.0,1.0
1|batter[663609],1.173,1.566,-1.628,4.155,0.034,0.038,2083.0,1521.0,1.0
1|batter[663611],-1.496,1.33,-3.849,1.101,0.033,0.03,1630.0,1328.0,1.0
1|batter[663616],-14.517,0.787,-15.963,-13.041,0.021,0.019,1450.0,1282.0,1.0
1|batter[663624],-5.188,0.546,-6.225,-4.201,0.027,0.012,411.0,1111.0,1.01
1|batter[663630],3.698,2.842,-1.773,8.596,0.062,0.066,2141.0,1111.0,1.01
1|batter[663647],-5.544,0.877,-7.16,-3.874,0.033,0.021,716.0,1104.0,1.01
1|batter[663656],-3.395,0.747,-4.667,-1.932,0.027,0.014,783.0,1480.0,1.0
1|batter[663662],-12.178,0.905,-13.832,-10.512,0.028,0.022,1030.0,1289.0,1.0
