index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[643396],-4.006,0.875,-5.824,-2.534,0.016,0.019,3193.0,1687.0,1.0
1|batter[643446],-1.478,1.076,-3.528,0.488,0.017,0.024,3894.0,1333.0,1.01
1|batter[643565],-4.073,1.077,-6.075,-2.012,0.018,0.026,3692.0,1459.0,1.0
1|batter[644433],-0.707,2.781,-5.949,4.314,0.05,0.067,3110.0,1210.0,1.0
1|batter[645277],-5.927,1.213,-8.117,-3.535,0.022,0.028,2956.0,1266.0,1.0
1|batter[645302],-2.053,1.11,-4.109,-0.003,0.02,0.028,3031.0,1631.0,1.0
1|batter[645305],-2.466,2.927,-8.074,3.039,0.048,0.072,3734.0,1465.0,1.0
1|batter[645444],-4.748,1.406,-7.413,-2.254,0.024,0.036,3592.0,1428.0,1.0
1|batter[646240],1.582,0.689,0.27,2.778,0.012,0.014,3155.0,1784.0,1.0
1|batter[647304],1.413,0.704,0.166,2.79,0.013,0.016,3000.0,1452.0,1.0
1|batter[647351],-3.759,1.448,-6.55,-1.114,0.023,0.032,4035.0,1646.0,1.0
1|batter[649966],-4.372,1.15,-6.507,-2.167,0.018,0.028,4234.0,1481.0,1.0
1|batter[650333],-13.082,1.178,-15.384,-10.952,0.02,0.028,3351.0,1558.0,1.0
1|batter[650402],-2.826,1.08,-4.834,-0.806,0.018,0.024,3821.0,1420.0,1.0
1|batter[650489],-0.952,0.828,-2.429,0.742,0.014,0.021,3484.0,1406.0,1.0
1|batter[650490],3.256,0.983,1.355,5.051,0.015,0.026,4101.0,1595.0,1.0
1|batter[650559],4.62,1.728,1.533,7.927,0.03,0.039,3227.0,1569.0,1.0
1|batter[650859],-2.385,0.702,-3.576,-0.953,0.014,0.015,2619.0,1684.0,1.0
1|batter[650907],7.167,3.504,0.451,13.554,0.076,0.074,2108.0,1445.0,1.0
1|batter[650968],1.051,1.036,-0.813,3.073,0.018,0.025,3434.0,1474.0,1.0
1|batter[655316],-5.288,2.115,-9.327,-1.465,0.035,0.055,3741.0,1405.0,1.0
1|batter[656180],6.43,0.941,4.587,8.178,0.018,0.023,2777.0,1164.0,1.0
1|batter[656185],1.878,2.911,-3.435,7.438,0.056,0.068,2743.0,1465.0,1.0
1|batter[656248],-1.105,2.277,-5.516,2.79,0.038,0.055,3695.0,1474.0,1.0
1|batter[656305],2.313,0.97,0.564,4.225,0.016,0.022,3661.0,1362.0,1.0
1|batter[656413],3.63,2.261,-0.135,8.53,0.035,0.064,4156.0,1346.0,1.01
1|batter[656484],0.008,2.003,-3.507,3.927,0.033,0.045,3628.0,1511.0,1.0
1|batter[656537],1.57,1.31,-0.914,3.931,0.021,0.03,3832.0,1617.0,1.0
1|batter[656541],2.001,2.182,-2.184,5.861,0.034,0.065,4198.0,1422.0,1.0
1|batter[656555],-3.092,1.236,-5.344,-0.76,0.019,0.028,4058.0,1452.0,1.0
1|batter[656577],5.645,1.917,2.18,9.367,0.029,0.048,4251.0,1496.0,1.0
1|batter[656582],0.343,2.657,-4.825,5.032,0.039,0.062,4593.0,1579.0,1.0
1|batter[656716],-2.797,0.945,-4.648,-1.075,0.018,0.022,2622.0,1598.0,1.0
1|batter[656775],1.908,0.922,0.196,3.603,0.014,0.019,4073.0,1534.0,1.0
1|batter[656811],2.423,0.819,0.874,3.871,0.014,0.016,3611.0,1541.0,1.0
1|batter[656896],-1.197,1.835,-4.561,2.294,0.027,0.049,4559.0,1396.0,1.0
1|batter[656941],3.702,0.922,1.761,5.316,0.015,0.022,3591.0,1628.0,1.01
1|batter[656976],-0.439,0.976,-2.159,1.507,0.015,0.026,4042.0,1497.0,1.0
1|batter[657041],2.091,1.585,-0.976,5.017,0.024,0.039,4411.0,1449.0,1.0
1|batter[657077],-9.754,2.07,-13.895,-6.044,0.035,0.05,3546.0,1229.0,1.0
1|batter[657136],2.896,1.454,0.149,5.579,0.022,0.038,4285.0,1271.0,1.0
1|batter[657247],2.336,3.546,-3.978,9.504,0.075,0.078,2259.0,1510.0,1.0
1|batter[657557],0.246,1.314,-2.264,2.631,0.02,0.028,4324.0,1591.0,1.0
1|batter[657656],-2.376,1.039,-4.446,-0.495,0.016,0.027,3998.0,1422.0,1.0
1|batter[657757],1.055,0.92,-0.595,2.835,0.017,0.02,2966.0,1576.0,1.0
1|batter[660162],-3.887,1.24,-6.287,-1.594,0.019,0.028,4327.0,1483.0,1.0
1|batter[660271],5.073,0.695,3.779,6.362,0.013,0.017,2949.0,1509.0,1.0
1|batter[660613],0.412,3.983,-7.074,8.002,0.086,0.086,2178.0,1540.0,1.0
1|batter[660644],-2.152,1.489,-4.999,0.61,0.022,0.037,4449.0,1629.0,1.0
1|batter[660670],4.483,1.118,2.486,6.583,0.017,0.025,4530.0,1697.0,1.0
1|batter[660688],-6.989,1.938,-10.725,-3.545,0.033,0.044,3433.0,1262.0,1.01
1|batter[660710],0.075,3.948,-7.762,7.12,0.086,0.081,2102.0,1471.0,1.0
1|batter[660757],1.565,1.406,-1.152,4.211,0.023,0.035,3715.0,1471.0,1.0
1|batter[660821],-2.386,1.045,-4.4,-0.44,0.02,0.025,2899.0,1503.0,1.0
1|batter[660844],-2.713,2.107,-6.477,1.328,0.031,0.047,4463.0,1862.0,1.0
1|batter[661388],1.5,0.929,-0.35,3.125,0.015,0.023,3633.0,1562.0,1.0
1|batter[662139],4.911,1.089,2.885,6.902,0.018,0.024,3752.0,1702.0,1.0
1|batter[663330],-3.742,1.747,-7.003,-0.435,0.029,0.04,3603.0,1463.0,1.0
1|batter[663368],4.725,1.088,2.61,6.648,0.018,0.027,3649.0,1479.0,1.0
1|batter[663457],-3.981,1.279,-6.541,-1.769,0.022,0.03,3423.0,1735.0,1.0
1|batter[663536],3.782,2.028,0.057,7.617,0.038,0.054,2907.0,1284.0,1.0
1|batter[663538],-0.422,0.83,-1.904,1.136,0.013,0.018,3822.0,1526.0,1.0
1|batter[663584],4.428,1.389,1.85,6.979,0.026,0.027,2872.0,1788.0,1.0
1|batter[663586],3.257,1.143,1.11,5.329,0.018,0.026,3914.0,1625.0,1.0
1|batter[663604],-2.249,1.086,-4.222,-0.233,0.019,0.027,3434.0,1539.0,1.0
1|batter[663609],3.974,2.307,0.093,8.605,0.038,0.05,3689.0,1531.0,1.0
1|batter[663616],-3.349,1.104,-5.317,-1.197,0.019,0.026,3525.0,1808.0,1.0
1|batter[663624],4.567,0.793,3.09,6.052,0.014,0.018,3060.0,1371.0,1.0
1|batter[663647],-5.671,1.348,-8.261,-3.201,0.024,0.035,3215.0,1398.0,1.0
1|batter[663656],-1.067,0.868,-2.794,0.464,0.015,0.028,3483.0,1258.0,1.0
1|batter[663662],1.073,2.66,-3.966,5.868,0.039,0.06,4710.0,1725.0,1.0
1|batter[663697],-0.032,1.002,-1.86,1.825,0.017,0.023,3536.0,1512.0,1.0
1|batter[663698],2.244,1.34,-0.176,4.809,0.022,0.033,3614.0,1382.0,1.0
1|batter[663728],1.388,1.008,-0.491,3.247,0.018,0.022,3295.0,1515.0,1.0
1|batter[663731],1.53,3.105,-4.359,7.255,0.056,0.072,3119.0,1523.0,1.0
1|batter[663743],-1.389,1.319,-3.728,1.195,0.021,0.032,4070.0,1569.0,1.0
1|batter[663757],3.673,0.874,2.001,5.339,0.014,0.019,3604.0,1848.0,1.0
1|batter[663796],1.974,3.517,-5.104,7.933,0.074,0.074,2241.0,1453.0,1.0
1|batter[663837],1.732,1.901,-1.934,5.143,0.032,0.044,3455.0,1535.0,1.0
1|batter[663853],4.095,0.845,2.564,5.7,0.016,0.017,2966.0,1550.0,1.0
1|batter[663886],0.337,1.03,-1.647,2.2,0.018,0.025,3188.0,1031.0,1.0
1|batter[663897],-2.198,2.872,-8.069,2.92,0.048,0.076,3575.0,1380.0,1.0
1|batter[663898],1.789,1.817,-1.607,5.237,0.027,0.04,4462.0,1539.0,1.0
1|batter[663967],0.319,3.062,-5.648,5.623,0.055,0.078,3123.0,1444.0,1.0
1|batter[663968],-0.669,0.617,-1.876,0.423,0.013,0.013,2407.0,1352.0,1.0
1|batter[663993],4.013,0.828,2.462,5.537,0.014,0.021,3344.0,1623.0,1.0
1|batter[664023],-3.017,1.015,-5.091,-1.266,0.016,0.029,3909.0,1401.0,1.01
1|batter[664034],-1.273,0.776,-2.689,0.141,0.015,0.02,2802.0,1484.0,1.0
1|batter[664040],0.212,0.969,-1.631,2.008,0.015,0.021,4162.0,1507.0,1.0
1|batter[664056],-2.037,1.035,-3.911,-0.075,0.019,0.026,3132.0,1434.0,1.0
1|batter[664059],-1.003,1.142,-3.182,1.095,0.022,0.027,2665.0,1445.0,1.0
1|batter[664068],3.41,2.934,-2.186,8.669,0.042,0.086,4860.0,1323.0,1.0
1|batter[664238],0.015,1.113,-1.938,2.082,0.019,0.025,3378.0,1615.0,1.0
1|batter[664702],-6.532,1.215,-8.645,-4.134,0.02,0.027,3633.0,1698.0,1.0
1|batter[664728],-3.475,1.017,-5.324,-1.611,0.016,0.022,4254.0,1740.0,1.0
1|batter[664761],0.789,0.967,-1.161,2.591,0.018,0.024,2938.0,1381.0,1.0
1|batter[664770],-3.283,0.87,-4.986,-1.773,0.015,0.022,3300.0,1527.0,1.0
1|batter[664774],-4.665,1.64,-7.506,-1.238,0.027,0.04,3710.0,1490.0,1.0
1|batter[664913],-0.692,2.455,-5.401,3.766,0.04,0.069,3788.0,1347.0,1.0
1|batter[664954],0.712,3.492,-6.006,7.323,0.068,0.07,2629.0,1844.0,1.0
1|batter[664983],-1.47,1.127,-3.47,0.76,0.019,0.023,3561.0,1640.0,1.0
1|batter[665019],0.531,1.327,-1.855,3.141,0.024,0.031,3144.0,1580.0,1.0
1|batter[665052],3.536,1.503,0.764,6.39,0.027,0.042,3071.0,1212.0,1.01
